date,country_iso3,indicator_id,value,source
1980-01-01,PAK,NGDPD,38.616,IMF
1981-01-01,PAK,NGDPD,45.681,IMF
1982-01-01,PAK,NGDPD,49.932,IMF
1983-01-01,PAK,NGDPD,46.619,IMF
1984-01-01,PAK,NGDPD,50.612,IMF
1985-01-01,PAK,NGDPD,50.607,IMF
1986-01-01,PAK,NGDPD,51.827,IMF
1987-01-01,PAK,NGDPD,54.171,IMF
1988-01-01,PAK,NGDPD,62.385,IMF
1989-01-01,PAK,NGDPD,65.042,IMF
1990-01-01,PAK,NGDPD,65.276,IMF
1991-01-01,PAK,NGDPD,74.158,IMF
1992-01-01,PAK,NGDPD,79.338,IMF
1993-01-01,PAK,NGDPD,83.969,IMF
1994-01-01,PAK,NGDPD,84.642,IMF
1995-01-01,PAK,NGDPD,98.917,IMF
1996-01-01,PAK,NGDPD,103.296,IMF
1997-01-01,PAK,NGDPD,101.848,IMF
1998-01-01,PAK,NGDPD,101.381,IMF
1999-01-01,PAK,NGDPD,96.008,IMF
2000-01-01,PAK,NGDPD,99.421,IMF
2001-01-01,PAK,NGDPD,96.784,IMF
2002-01-01,PAK,NGDPD,98.169,IMF
2003-01-01,PAK,NGDPD,112.507,IMF
2004-01-01,PAK,NGDPD,132.206,IMF
2005-01-01,PAK,NGDPD,145.209,IMF
2006-01-01,PAK,NGDPD,161.871,IMF
2007-01-01,PAK,NGDPD,184.141,IMF
2008-01-01,PAK,NGDPD,202.204,IMF
2009-01-01,PAK,NGDPD,187.074,IMF
2010-01-01,PAK,NGDPD,196.712,IMF
2011-01-01,PAK,NGDPD,230.577,IMF
2012-01-01,PAK,NGDPD,250.094,IMF
2013-01-01,PAK,NGDPD,258.674,IMF
2014-01-01,PAK,NGDPD,271.422,IMF
2015-01-01,PAK,NGDPD,299.93,IMF
2016-01-01,PAK,NGDPD,313.623,IMF
2017-01-01,PAK,NGDPD,339.229,IMF
2018-01-01,PAK,NGDPD,356.163,IMF
2019-01-01,PAK,NGDPD,321.071,IMF
2020-01-01,PAK,NGDPD,300.41,IMF
2021-01-01,PAK,NGDPD,348.481,IMF
2022-01-01,PAK,NGDPD,374.85,IMF
2023-01-01,PAK,NGDPD,336.555,IMF
2024-01-01,PAK,NGDPD,372.243,IMF
2025-01-01,PAK,NGDPD,407.786,IMF
